"","X","SITE","YEAR","ASPLAN","ASTAD","ATON","BARNAUP","BOSMI","BRACH","CATUNK","CENTRO","CONAUP","COPPART","CYP","DIAPH","EUPLO","EURY","EURYAM","EUTAUT","EVAD","FIDDLE","GAMMA","GASTL","GASTS","GLOB","HALIFOST","HALT","HARP","HEART","HEMICYC","HEXA","KERA","LABO","LEPTO","MNEMI","MUSSEL","MYRUB","NEOM","OITHON","PENIL","PLEOP","PODON","POLART","POLYESL","POLYLTL","POLYP","POLYPART","POLYPL","POLYS","PSEPEL","ROTAR","STROB","STROM","SYN","TEMOR","TFUR","TINTIN","TRICH","UNKCOP1","UNKCOP2","UNKCOP3","UNKPOLYAD","UNKZOEA","XANZOEA","AGLAC","ALEX","ANAB","AMPH","ANKIS","ASAN","AULA","BIDD","CALO","CERATA","CERAT","CERATL","CHDAN","CHDEC","CHDID","CHMIN","CHSUB","CHLAMY","CHROOC","COCCO","COSC","CRYPT","CYCLO","CYLCLO","CYMB","DINOB","DINOP","DINOT","DITBRI","EPITH","EUCZOD","EUG","FRAG","GOLEN","GOMPH","GONY","GUIN","GYM","GYMH","GYROD","GYROS","HAPTO","HAKASH","HROT","HTRI","KARLO","LDAN","LMIN","MALLO","MERIS","MOON","NAV","NITZ","OBLEA","ODON","OOCYS","OSCIL","OXMAR","OXYTOX","PARSUL","PERID","PHAC","PLIKE","PRAS","PROTO","PMIN","PMIC","POLYK","RAPH","RHIZ","SCEN","SCRIP","SKECO","SNOW","SUR","SYNED","TAB","THAL","TGRAV","TNORD","TPSEUD","TNIT","TRIB","UNKFLAG","TRIALT","PSEUDO"
"1",520102,2,1,83583,0,4250,19833,0,0,0,0,137417,0,0,0,0,7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833,0,0,0,0,9917,0,0,0,0,0,0,0,0,0,0,0,1417,0,0,0,0,0,0,0,0,13334,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,804,0,0,0,4028,179,0,0,0,0,0,80,0,0,80,0,0,0,0,0,0,0,0,0,0,0,487,80,0,179,0,0,0,0,169,0,0,0,0,3453,0,0,0,0,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
"2",520103,3,1,33000,0,7500,0,0,0,0,0,102000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15223,0,0,0,0,142,0,0,0,0,0,0,0,284,635,0,0,514,0,0,80,3213,230,0,0,0,0,0,151,0,0,71,0,0,0,0,0,0,0,0,0,0,0,1140,71,0,80,380,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,142,0,71,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1020103,3,1,0,0,2389,0,0,0,0,0,4778,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4830,142,0,0,1633,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,71,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1120103,3,1,0,0,0,0,0,0,0,0,7667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,0,0,0,710,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,142,71,284,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",520105,5,1,20278,0,24333,2028,0,0,0,0,97333,0,0,0,0,10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,0,0,4056,0,0,0,0,0,0,2028,0,0,0,0,0,0,0,0,0,14450,0,0,0,0,0,0,0,0,0,0,0,0,355,0,556,0,710,0,0,71,2498,293,0,0,0,0,0,151,0,0,159,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,823,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,80,71,0,0,0,0,0,0,0,0,284,0,389,0,0,0,0,0
"6",1020105,5,1,0,0,917,0,0,0,0,0,44917,917,0,0,0,12833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,5052,284,0,0,1923,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,213,71,0,0,0,426,0,0,0,0,0,0,0,0,1705,0,0,0,143,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",820106,6,1,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,1556,0,0,0,0,0,0,0,52889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,994,2983,0,0,2131,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,71,0,0,0,568,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,781,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",520111,1,2,55878,0,0,34478,0,0,0,0,174767,0,0,0,0,3567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,343,0,0,0,71,0,130,0,0,0,0,0,0,0,0,0,0,7908,0,0,0,1141,0,0,0,0,0,0,0,0,0,65,0,0,0,65,0,0,0,0,0,195,0,390,65,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,65,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0
"9",420113,3,2,20000,0,0,10680,0,0,0,0,22680,0,0,0,0,10640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,3971,0,0,0,2338,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,343,467,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,71,0,0,0,0,0,0,0,0,0,0
"10",720113,3,2,0,0,0,0,0,0,0,0,7222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20739,0,0,0,3409,568,568,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,6534,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",920115,5,2,0,0,2611,1130,0,0,0,0,15907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,3504,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1120115,5,2,0,0,1606,1606,0,0,0,0,11239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,47,0,0,0,0,0
"13",520116,6,2,18111,0,22639,2264,0,0,0,0,92819,0,0,0,0,2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,0,0,0,0,0,0,0,0,1749,0,0,0,0,0,0,0,0,0,0,0,0,1847,0,0,0,5031,0,0,1420,3637,0,0,0,0,71,0,0,0,0,65,0,0,0,0,71,0,0,0,0,136,0,266,266,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1104,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",720116,6,2,0,0,3783,0,0,0,0,0,22700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,1261,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12322,0,0,0,2369,711,237,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,4265,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,237,0,474,0,0,0,0,0,0,4739,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1020121,1,3,0,0,0,0,0,0,0,0,24278,0,0,0,0,5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8809,0,0,0,5966,0,0,284,426,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,284,0,0,0,0,0,0,0,0,0,0,0,284,0,0,710,0
"16",620122,2,3,0,0,0,0,0,0,0,0,7333,0,0,0,0,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1020122,2,3,0,0,2500,0,0,0,0,0,8750,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8523,0,0,0,4829,0,0,0,2273,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,142,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0
"18",520124,4,3,0,0,8278,0,0,0,0,0,82778,0,0,0,0,3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3311,0,0,0,0,0,0,0,0,0,9933,0,1656,1656,0,0,3311,0,0,0,0,0,1656,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,227,0,0,0,284,0,0,0,0,0,0,0,0,0,0,57,0,0,0,284,0,0,0,0,0
"19",620124,4,3,0,0,1722,0,0,0,0,0,108500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,0,0,0,0,0,8611,0,0,0,0,0,0,0,0,0,0,0,27556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8263,0,0,0,781,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
"20",920124,4,3,0,0,0,0,0,0,0,0,54056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4502,0,0,0,1659,0,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",620125,5,3,0,0,7867,0,0,0,0,0,26222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10908,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,3233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",420126,6,3,0,0,8847,0,0,0,0,0,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,1264,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,0,142,355,142,0,0,0,0,0,71,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,0,0,71,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
"23",1020126,6,3,0,0,0,0,0,0,0,0,34639,0,0,0,0,13694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11445,0,0,418,1504,0,0,334,0,0,167,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,1921
"24",720131,1,4,0,0,0,0,0,0,0,0,51750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6548,0,0,0,2024,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3571,0,0,0,0,714,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0
"25",720132,2,4,0,0,0,0,0,0,0,0,7667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19167,7667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,1714,1714,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,1143,0,0,0,1714,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",920132,2,4,0,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,0,7143,0,0,429,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286,0,0,0,143,0,0,0,0,4571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
"27",720133,3,4,0,0,0,0,0,0,0,0,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,0,0,4127,0,0,0,635,476,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",420134,4,4,0,0,93417,4917,0,0,0,0,9833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,216,0,0,0,1104,72,0,24,0,0,24,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,336,0,0,3336,0,0,0,0,0,768,0,120,3888,0,0,0,576
"29",620134,4,4,0,0,0,6250,0,0,0,0,9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18750,9375,0,0,0,0,0,0,0,21667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,48,0,0,0,144,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7704,0,0,0,0,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,792,0,0,0,0,0,408,0,0,0,0,0,0,0
"30",720134,4,4,0,0,0,0,0,0,0,0,4432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3857,0,11571,0,0,0,3429,571,0,0,286,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286,0,0,0,0,12143,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,286,143,143,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
